time_stamp, average time, incremental time, search time,fov check time, total time, alpha_bal, alpha_del
1577837013.89960599,0.02505804,0.00311422,0.00000457,68438.00000000,0.02014009,0.000000,0.000000
1577837013.99944806,0.02502821,0.00223881,0.00000337,68447.00000000,0.01482697,0.000000,0.000000
1577837014.09929609,0.02501550,0.00291399,0.00000507,68458.00000000,0.02065548,0.000000,0.000000
1577837014.19994283,0.02499368,0.00265682,0.00000413,68480.00000000,0.01748945,0.000000,0.000000
1577837014.29977012,0.02497759,0.00327718,0.00000446,68501.00000000,0.01942676,0.000000,0.000000
1577837014.39961290,0.02496234,0.00310092,0.00000470,68539.00000000,0.01968602,0.000000,0.000000
1577837014.49947500,0.02494460,0.00333937,0.00000419,68597.00000000,0.01878831,0.000000,0.000000
1577837014.59930491,0.02492445,0.00253981,0.00000407,68637.00000000,0.01791130,0.000000,0.000000
1577837014.69992590,0.02491453,0.00367819,0.00000511,68660.00000000,0.02145461,0.000000,0.000000
1577837014.79977393,0.02492456,0.00391607,0.00000655,68682.00000000,0.02843439,0.000000,0.000000
1577837014.89961600,0.02490606,0.00277502,0.00000523,68707.00000000,0.01841251,0.000000,0.000000
1577837014.99945498,0.02489996,0.00287606,0.00000559,68722.00000000,0.02275272,0.000000,0.000000
1577837015.09928799,0.02487247,0.00238302,0.00000362,68727.00000000,0.01516694,0.000000,0.000000
1577837015.19993019,0.02488320,0.00316688,0.00000722,68713.00000000,0.02868226,0.000000,0.000000
1577837015.29976392,0.02485943,0.00278698,0.00000373,68727.00000000,0.01642190,0.000000,0.000000
1577837015.39960289,0.02482485,0.00217684,0.00000285,68748.00000000,0.01251256,0.000000,0.000000
1577837015.49943709,0.02481597,0.00370198,0.00000467,68759.00000000,0.02164797,0.000000,0.000000
1577837015.59928799,0.02479465,0.00236274,0.00000395,68796.00000000,0.01716070,0.000000,0.000000
1577837015.69991398,0.02476138,0.00242217,0.00000293,68816.00000000,0.01281910,0.000000,0.000000
1577837015.79975080,0.02475293,0.00357714,0.00000514,68838.00000000,0.02170949,0.000000,0.000000
1577837015.89959598,0.02471827,0.00219269,0.00000273,68847.00000000,0.01220710,0.000000,0.000000
1577837015.99944091,0.02472582,0.00430272,0.00000591,68862.00000000,0.02745795,0.000000,0.000000
1577837016.09927988,0.02470633,0.00346934,0.00000358,68848.00000000,0.01763276,0.000000,0.000000
1577837016.19993591,0.02469178,0.00361759,0.00000419,68870.00000000,0.01939543,0.000000,0.000000
1577837016.29977179,0.02467112,0.00286870,0.00000373,68821.00000000,0.01712784,0.000000,0.000000
1577837016.39961100,0.02465228,0.00280982,0.00000416,68817.00000000,0.01775883,0.000000,0.000000
1577837016.49944592,0.02463259,0.00278109,0.00000384,68829.00000000,0.01740378,0.000000,0.000000
1577837016.59928608,0.02462029,0.00280839,0.00000440,68844.00000000,0.02009510,0.000000,0.000000
